Name of Publication,Publication Link,Date of Publish,CU Author,Pureportal Profile Link
Improving food safety culture in Nigeria: A review of practical issues,https://pureportal.coventry.ac.uk/en/publications/improving-food-safety-culture-in-nigeria-a-review-of-practical-is,13-Aug-21,[],[]
,,,,
It’s Not Just What You Do but the Way You Do It: A Systematic Review of Process Evaluation of Interventions to Improve Gross Motor Competence,https://pureportal.coventry.ac.uk/en/publications/its-not-just-what-you-do-but-the-way-you-do-it-a-systematic-revie,Dec-21,"['Ma, J.', 'Eyre, E.', 'Essiet, I.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/jiani-ma-2', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/inimfon-essiet', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
"Life after lockdown: The role of sport, exercise and physical activity in ameliorating the mental health implications of COVID-19 restrictions",https://pureportal.coventry.ac.uk/en/publications/life-after-lockdown-the-role-of-sport-exercise-and-physical-activ,2021,"['Clarke, N. D.', 'Broom, D. R.', 'Tallis, J.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/david-broom', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Optimal Loading for Force Production in the Straight Bar Deadlift: Force-Time Characteristics in Strength-Trained Adults,https://pureportal.coventry.ac.uk/en/publications/optimal-loading-for-force-production-in-the-straight-bar-deadlift,01-Jun-21,"['Mundy, P.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/peter-mundy', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Physical profiling of international cricket players: an investigation between bowlers and batters ,https://pureportal.coventry.ac.uk/en/publications/physical-profiling-of-international-cricket-players-an-investigat,2021,"['Clarke, N.']",['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
,,,,
Predicting Children’s Energy Expenditure during Physical Activity using Deep Learning and Wearable Sensor Data,https://pureportal.coventry.ac.uk/en/publications/predicting-childrens-energy-expenditure-during-physical-activity-,2021,"['Duncan, M.', 'Eyre, E.', 'Jing, Y.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/yanguo-jing']"
,,,,
"Pre-schoolers fundamental movement skills predict BMI, physical activity, and sedentary behavior: A longitudinal study",https://pureportal.coventry.ac.uk/en/publications/pre-schoolers-fundamental-movement-skills-predict-bmi-physical-ac,Apr-21,"['Duncan, M.', 'Eyre, E.', 'James, R.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/rob-james']"
,,,,
Prevalence and factors related to urinary incontinence in older adults women worldwide: a comprehensive systematic review and meta-analysis of observational studies,https://pureportal.coventry.ac.uk/en/publications/prevalence-and-factors-related-to-urinary-incontinence-in-older-a,29-Mar-21,"['Bokaee, S.']",['https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee']
,,,,
Rates of Bile Acid Diarrhoea After Cholecystectomy: A Multicentre Audit,https://pureportal.coventry.ac.uk/en/publications/rates-of-bile-acid-diarrhoea-after-cholecystectomy-a-multicentre-,Aug-21,[],[]
,,,,
Rationalizing teacher roles in developing and assessing physical literacy in children,https://pureportal.coventry.ac.uk/en/publications/rationalizing-teacher-roles-in-developing-and-assessing-physical-,Feb-21,"['Essiet, I.', 'Duncan, M.', 'Eyre, E.']","['https://pureportal.coventry.ac.uk/en/persons/inimfon-essiet', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre']"
,,,,
Skin anisotropy: Finding the optimal incision line for volar forearm in males and females,https://pureportal.coventry.ac.uk/en/publications/skin-anisotropy-finding-the-optimal-incision-line-for-volar-forea,Dec-21,"['Hill, M.', 'Wdowski, M.']","['https://pureportal.coventry.ac.uk/en/persons/mathew-hill', 'https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski']"
,,,,
Stepping Into Salsa Culture: An Experiential Account of Engaging With a University Non-Credit Dance Programme,https://pureportal.coventry.ac.uk/en/publications/stepping-into-salsa-culture-an-experiential-account-of-engaging-w,14-Sep-21,"['Domene, P.', 'Morley, S.']","['https://pureportal.coventry.ac.uk/en/persons/pablo-domene', 'https://pureportal.coventry.ac.uk/en/persons/sheriden-morley-2']"
,,,,
Strength and Conditioning Practices and Perspectives of Volleyball Coaches and Players,https://pureportal.coventry.ac.uk/en/publications/strength-and-conditioning-practices-and-perspectives-of-volleybal,13-Feb-21,"['Duncan, M.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
Test-retest reliability of soccer dribbling tests in children,https://pureportal.coventry.ac.uk/en/publications/test-retest-reliability-of-soccer-dribbling-tests-in-children,05-Aug-21,"['Duncan, M.', 'Morris, R.', 'Eyre, E.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/rhys-morris', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
The determination of the lower critical concentration temperature and intrinsic viscosity: The syneresis reaction of polymeric gels,https://pureportal.coventry.ac.uk/en/publications/the-determination-of-the-lower-critical-concentration-temperature,Mar-22,"['Munialo, C. D.']",['https://pureportal.coventry.ac.uk/en/persons/claire-munialo']
,,,,
The dose–response relationship between training-load measures and aerobic fitness in elite academy soccer players,https://pureportal.coventry.ac.uk/en/publications/the-doseresponse-relationship-between-training-load-measures-and-,2021,"['Noon, M.']",['https://pureportal.coventry.ac.uk/en/persons/mark-noon']
,,,,
The effect of fatigue on first stance phase kinetics during acceleration sprint running in professional football players,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-fatigue-on-first-stance-phase-kinetics-during-accel,2021,"['Wdowski, M.', 'Clarke, N.', 'Eyre, E.', 'Morris, R.', 'Noon, M.', 'Eustace, S.', 'Hankey, J.']","['https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/rhys-morris', 'https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/steven-eustace', 'https://pureportal.coventry.ac.uk/en/persons/jo-hankey']"
,,,,
The effects of high adiposity on concentric and eccentric muscle performance of upper and lower limb musculature in young and older adults,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-high-adiposity-on-concentric-and-eccentric-muscle-,03-Mar-21,"['Shelley, S.', 'James, R.', 'Eustace, S.', 'Eyre, E.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/sharn-shelley', 'https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/steven-eustace', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
The Impact of Student Attendance on Assessment Specific Performance in Sport Degree Programs,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-student-attendance-on-assessment-specific-performan,Nov-21,"['Eustace, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-eustace']
,,,,
"The influence of COVID-19 measures in the United Kingdom on physical activity levels, perceived physical function and mood in older adults: A survey-based observational study",https://pureportal.coventry.ac.uk/en/publications/the-influence-of-covid-19-measures-in-the-united-kingdom-on-physi,2021,"['Duncan, M. J.', 'Clarke, N. D.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
The Influence of Recruitment Age and Anthropometric and Physical Characteristics on the Development Pathway of English Academy Football Players,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-recruitment-age-and-anthropometric-and-physical-,Feb-21,"['Noon, M.', 'Eyre, E.', 'Morris, R.', 'Mundy, P.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/rhys-morris', 'https://pureportal.coventry.ac.uk/en/persons/peter-mundy', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
"The influence of the urban food environment on diet, nutrition and health outcomes in low-income and middle-income countries: A systematic review",https://pureportal.coventry.ac.uk/en/publications/the-influence-of-the-urban-food-environment-on-diet-nutrition-and,11-Oct-21,"['Jones, H. M.']",['https://pureportal.coventry.ac.uk/en/persons/helen-jones']
,,,,
The prevalence and practices of caffeine use as an ergogenic aid in English professional soccer: Caffeine Use In Professional Soccer,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-and-practices-of-caffeine-use-as-an-ergogenic-aid-,2021,"['Tallis, J.', 'Clarke, N.', 'Morris, R.', 'Eyre, E.', 'Duncan, M.', 'Noon, M.']","['https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/rhys-morris', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/mark-noon']"
,,,,
