Name of Publication,Publication Link,Date of Publish,CU Author,Pureportal Profile Link
,,,,
Hormonal and Genetic Biomarkers for Predicting Risk of Perinatal Depression,https://pureportal.coventry.ac.uk/en/publications/hormonal-and-genetic-biomarkers-for-predicting-risk-of-perinatal-,25-Sep-17,[],[]
,,,,
Impact of time and work:rest ratio matched sprint interval training programmes on performance: A randomised controlled trial,https://pureportal.coventry.ac.uk/en/publications/impact-of-time-and-workrest-ratio-matched-sprint-interval-trainin,Nov-17,[],[]
,,,,
Injury Surveillance of Female Adult Zumba® Dancers,https://pureportal.coventry.ac.uk/en/publications/injury-surveillance-of-female-adult-zumba-dancers-2,01-Dec-17,"['Domene, P. A.', 'Clarke, N. D.']","['https://pureportal.coventry.ac.uk/en/persons/pablo-domene', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
Is the Ergogenicity of Caffeine Affected by Increasing Age? The Direct Effect of a Physiological Concentration of Caffeine on the Power Output of Maximally Stimulated EDL and Diaphragm Muscle Isolated From the Mouse,https://pureportal.coventry.ac.uk/en/publications/is-the-ergogenicity-of-caffeine-affected-by-increasing-age-the-di-2,Apr-17,"['Tallis, J.', 'James, R. S.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Learning To Suffer: High- But Not Moderate-intensity Training Increases Pain Tolerance: Results From A Randomised Study,https://pureportal.coventry.ac.uk/en/publications/learning-to-suffer-high-but-not-moderate-intensity-training-incre,2017,[],[]
,,,,
Live Attenuated Influenza Vaccine contains Substantial and Unexpected Amounts of Defective Viral Genomic RNA,https://pureportal.coventry.ac.uk/en/publications/live-attenuated-influenza-vaccine-contains-substantial-and-unexpe,21-Sep-17,"['Gould, P. S.']",['https://pureportal.coventry.ac.uk/en/persons/phillip-gould']
,,,,
Low fundamental movement skill proficiency is associated with high BMI and body fatness in girls but not boys aged 6-11 years old,https://pureportal.coventry.ac.uk/en/publications/low-fundamental-movement-skill-proficiency-is-associated-with-hig-2,2017,"['Duncan, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
Modification of n-type and p-type semiconductor sensor devices for security applications,https://pureportal.coventry.ac.uk/en/publications/modification-of-n-type-and-p-type-semiconductor-sensor-devices-fo,2017,"['Tarttelin Hernandez, P.']",['https://pureportal.coventry.ac.uk/en/persons/paula-tarttelin-hernandez']
,,,,
Nanotechnology in Microbial Food Safety,https://pureportal.coventry.ac.uk/en/publications/nanotechnology-in-microbial-food-safety,03-Mar-17,[],[]
,,,,
No dose-response effect of carbohydrate mouth rinse concentration on 5 km running performance in recreational athletes,https://pureportal.coventry.ac.uk/en/publications/no-dose-response-effect-of-carbohydrate-mouth-rinse-concentration-2,01-Mar-17,"['Clarke, N. D.']",['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
,,,,
Obesity-induced decreases in muscle performance are not reversible by weight loss,https://pureportal.coventry.ac.uk/en/publications/obesity-induced-decreases-in-muscle-performance-are-not-reversibl,Aug-17,"['Tallis, J.', 'James, R.']","['https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/rob-james']"
,,,,
Objectively assessed physical activity and sedentary behaviour during pregnancy in Portuguese women: Differences between weekdays and weekends,https://pureportal.coventry.ac.uk/en/publications/objectively-assessed-physical-activity-and-sedentary-behaviour-du-2,2017,"['Duncan, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
Overcoming T. gondii infection and intracellular protein nanocapsules as biomaterials for ultrasonically controlled drug release,https://pureportal.coventry.ac.uk/en/publications/overcoming-t-gondii-infection-and-intracellular-protein-nanocapsu,01-Oct-17,[],[]
,,,,
Pre-cooling moderately enhances visual discrimination during exercise in the heat,https://pureportal.coventry.ac.uk/en/publications/pre-cooling-moderately-enhances-visual-discrimination-during-exer-2,2017,"['Clarke, N. D.', 'Duncan, M. J.', 'Hankey, J.']","['https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jo-hankey']"
,,,,
Preschool staff and parents’ perceptions of preschool children’s physical activity and fundamental movement skills from an area of high deprivation: a qualitative study,https://pureportal.coventry.ac.uk/en/publications/preschool-staff-and-parents-perceptions-of-preschool-childrens-ph,2017,"['Duncan, M.', 'James, R.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/rob-james']"
,,,,
Protein gels,https://pureportal.coventry.ac.uk/en/publications/protein-gels,13-Nov-17,"['Munialo, C. D.']",['https://pureportal.coventry.ac.uk/en/persons/claire-munialo']
,,,,
Relationships Between Measures Of Physical Fitness Change When Age Dependent Bias Is Removed In A Group Of Young Male Soccer Players,https://pureportal.coventry.ac.uk/en/publications/relationships-between-measures-of-physical-fitness-change-when-ag-2,01-Aug-17,"['James, R. S.', 'Thake, C. D.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Scaling children’s waist circumference for differences in body size,https://pureportal.coventry.ac.uk/en/publications/scaling-childrens-waist-circumference-for-differences-in-body-siz,Nov-17,"['Duncan, M.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
Self-control exertion and glucose supplementation prior to endurance performance,https://pureportal.coventry.ac.uk/en/publications/self-control-exertion-and-glucose-supplementation-prior-to-endura,Mar-17,[],[]
,,,,
South Asian children have increased body fat in comparison to White children at the same Body Mass Index,https://pureportal.coventry.ac.uk/en/publications/south-asian-children-have-increased-body-fat-in-comparison-to-whi,22-Nov-17,"['Eyre, E.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Studying the impact on weight and glycaemic control in adults with diabetes attending a group-based commercial weight management programme,https://pureportal.coventry.ac.uk/en/publications/studying-the-impact-on-weight-and-glycaemic-control-in-adults-wit,28-Feb-17,[],[]
,,,,
Support leg action can contribute to maximal instep soccer kick performance: an intervention study,https://pureportal.coventry.ac.uk/en/publications/support-leg-action-can-contribute-to-maximal-instep-soccer-kick-p-2,2017,"['Mundy, P.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
The Age-Related Association of Movement in Irish Adolescent Youth,https://pureportal.coventry.ac.uk/en/publications/the-age-related-association-of-movement-in-irish-adolescent-youth,02-Oct-17,"['Duncan, M.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
The effect of badminton specific exercise on badminton short serve performance in competition and practice climates,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-badminton-specific-exercise-on-badminton-short-serv-2,2017,"['Duncan, M. J.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
The effect of folate supplementation on inflammatory markers in individuals susceptible to depression: a systematic review,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-folate-supplementation-on-inflammatory-markers-in-i,2017,[],[]
,,,,
"The effect of obesity on the contractile performance of isolated mouse soleus, EDL, and diaphragm muscles",https://pureportal.coventry.ac.uk/en/publications/the-effect-of-obesity-on-the-contractile-performance-of-isolated--2,18-Jan-17,"['Tallis, J.', 'James, R. S.']","['https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/rob-james']"
,,,,
The effect of ‘critical moments’ on identity development in Premier League Academy football players,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-critical-moments-on-identity-development-in-premier,2017,"[""O'Halloran, L.""]",['https://pureportal.coventry.ac.uk/en/persons/lisa-ohalloran']
,,,,
The effects of 8 weeks voluntary wheel running on the contractile performance of isolated locomotory (soleus) and respiratory (diaphragm) skeletal muscle during early ageing,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-8-weeks-voluntary-wheel-running-on-the-contractile,17-Aug-17,"['Tallis, J.', 'Duncan, M.', 'James, R.']","['https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/rob-james']"
,,,,
The effects of barbell load on countermovement vertical jump power and net impulse,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-barbell-load-on-countermovement-vertical-jump-powe-2,2017,"['Mundy, P.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
The effects of magnetic nanoparticles incorporated in polyelectrolyte capsules,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-magnetic-nanoparticles-incorporated-in-polyelectro,01-Dec-17,[],[]
,,,,
The evidence base for circulating tumour DNA blood-based biomarkers for the early detection of cancer: a systematic mapping review,https://pureportal.coventry.ac.uk/en/publications/the-evidence-base-for-circulating-tumour-dna-blood-based-biomarke,23-Oct-17,[],[]
,,,,
The fate of pollutants in laboratory-based pervious paving systems,https://pureportal.coventry.ac.uk/en/publications/the-fate-of-pollutants-in-laboratory-based-pervious-paving-system,2017,"['Charlesworth, S.']",['https://pureportal.coventry.ac.uk/en/persons/sue-charlesworth']
,,,,
"The fate of pollutants in porous asphalt pavements, laboratory experiments to investigate their potential to impact environmental health",https://pureportal.coventry.ac.uk/en/publications/the-fate-of-pollutants-in-porous-asphalt-pavements-laboratory-exp,21-Jun-17,"['Charlesworth, S.']",['https://pureportal.coventry.ac.uk/en/persons/sue-charlesworth']
,,,,
The influence of cycling intensity upon cognitive response during inferred practice and competition conditions,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-cycling-intensity-upon-cognitive-response-during-2,2017,"['Duncan, M. J.', 'Clarke, N. D.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
Thermodysregulation in persons with spinal cord injury: case series on use of the autonomic standards,https://pureportal.coventry.ac.uk/en/publications/thermodysregulation-in-persons-with-spinal-cord-injury-case-serie,06-Dec-17,"['Price, M.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
,,,,
Thermoregulatory Reponses during Competitive Wheelchair Rugby Match Play,https://pureportal.coventry.ac.uk/en/publications/thermoregulatory-reponses-during-competitive-wheelchair-rugby-mat,Mar-17,"['Price, M.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
,,,,
The Use of Ultrasound as an Enhancement Aid to Food Extraction,https://pureportal.coventry.ac.uk/en/publications/the-use-of-ultrasound-as-an-enhancement-aid-to-food-extraction,22-Sep-17,[],[]
,,,,
UAV Operator mental workload: A neurophysiological comparison of mental workload and vigilance,https://pureportal.coventry.ac.uk/en/publications/uav-operator-mental-workload-a-neurophysiological-comparison-of-m,Jun-17,"['Shelton-Rayner, G.']",['https://pureportal.coventry.ac.uk/en/persons/graham-shelton-rayner']
,,,,
Validity and reliability of the modified shuttle walk test in older adults,https://pureportal.coventry.ac.uk/en/publications/validity-and-reliability-of-the-modified-shuttle-walk-test-in-old,Jul-17,"['Horton, E.', 'Duncan, M.', 'Leddington Wright, S.']","['https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright']"
,,,,
Viewpoints of overweight and obese adolescents attending lifestyle obesity treatment interventions: a qualitative systematic review,https://pureportal.coventry.ac.uk/en/publications/viewpoints-of-overweight-and-obese-adolescents-attending-lifestyl,Nov-17,"['Jones, H.']",['https://pureportal.coventry.ac.uk/en/persons/helen-jones']
,,,,
What are the views of overweight and obese adolescents (12–17yrs) attending lifestyle treatment interventions: a qualitative systematic review,https://pureportal.coventry.ac.uk/en/publications/what-are-the-views-of-overweight-and-obese-adolescents-1217yrs-at,02-Sep-17,"['Jones, H.']",['https://pureportal.coventry.ac.uk/en/persons/helen-jones']
,,,,
Whole grain cereals for the primary or secondary prevention of cardiovascular disease. The Cochrane database of systematic reviews,https://pureportal.coventry.ac.uk/en/publications/whole-grain-cereals-for-the-primary-or-secondary-prevention-of-ca,24-Aug-17,"['Jones, H.']",['https://pureportal.coventry.ac.uk/en/persons/helen-jones']
,,,,
Activation energy of the disruption of gel networks in relation to elastically stored energy in fine-stranded ovalbumin gels,https://pureportal.coventry.ac.uk/en/publications/activation-energy-of-the-disruption-of-gel-networks-in-relation-t,01-Apr-16,"['Munialo, C. D.']",['https://pureportal.coventry.ac.uk/en/persons/claire-munialo']
,,,,
Addition of Orange Pomace to Orange Juice Attenuates the Increases in Peak Glucose and Insulin Concentrations after Sequential Meal Ingestion in Men with Elevated Cardiometabolic Risk,https://pureportal.coventry.ac.uk/en/publications/addition-of-orange-pomace-to-orange-juice-attenuates-the-increase-2,01-Jun-16,"['Dong, H.']",['https://pureportal.coventry.ac.uk/en/persons/honglin-dong']
,,,,
Agreement between the force platform method and the combined method measurements of power output during the loaded countermovement jump,https://pureportal.coventry.ac.uk/en/publications/agreement-between-the-force-platform-method-and-the-combined-meth-2,2016,"['Mundy, P. D.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
An integrated curriculum approach to increasing habitual physical activity in deprived South Asian children,https://pureportal.coventry.ac.uk/en/publications/an-integrated-curriculum-approach-to-increasing-habitual-physical-2,2016,"['Eyre, E.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
"Antimicrobial activity of selected herbal extracts against Propionibacterium acnes, the causative agent of skin acne lesions",https://pureportal.coventry.ac.uk/en/publications/antimicrobial-activity-of-selected-herbal-extracts-against-propio,Jul-16,"['Aldsworth, T.', 'Rollason, J.']","['https://pureportal.coventry.ac.uk/en/persons/tim-aldsworth', 'https://pureportal.coventry.ac.uk/en/persons/jess-rollason']"
,,,,
Application of Ultrasound to Aid Food Processing,https://pureportal.coventry.ac.uk/en/publications/application-of-ultrasound-to-aid-food-processing-2,26-Jul-16,[],[]
,,,,
Applications of Ultrasound in Processing of Liquid Foods (A Review),https://pureportal.coventry.ac.uk/en/publications/applications-of-ultrasound-in-processing-of-liquid-foods-a-review-2,19-Dec-16,[],[]
,,,,
Cocoa: Composition and Health Effects,https://pureportal.coventry.ac.uk/en/publications/cocoa-composition-and-health-effects,2016,[],[]
,,,,
Coffee and Caffeine Ingestion Have Little Effect on Repeated Sprint Cycling in Relatively Untrained Males,https://pureportal.coventry.ac.uk/en/publications/coffee-and-caffeine-ingestion-have-little-effect-on-repeated-spri-2,29-Aug-16,"['Clarke, N.', 'Oxford, S.', 'Mundy, P.']","['https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/sam-oxford', 'https://pureportal.coventry.ac.uk/en/persons/peter-mundy']"
,,,,
Competition and collaboration using a social and gamified online learning platform,https://pureportal.coventry.ac.uk/en/publications/competition-and-collaboration-using-a-social-and-gamified-online--2,Oct-16,"['Arnab, S.', 'Merry, S. K.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab', 'https://pureportal.coventry.ac.uk/en/persons/sarah-kate-merry', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Cross acclimation between heat and hypoxia: Heat acclimation improves cellular tolerance and exercise performance in acute normobaric hypoxia,https://pureportal.coventry.ac.uk/en/publications/cross-acclimation-between-heat-and-hypoxia-heat-acclimation-impro-2,08-Mar-16,"['Lee, B.', 'James, R. S.', 'Thake, C. D.']","['https://pureportal.coventry.ac.uk/en/persons/ben-lee', 'https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Does Short-Term High Dose Probiotic Supplementation Containing Lactobacillus casei Attenuate Exertional-Heat Stress Induced Endotoxaemia and Cytokinaemia,https://pureportal.coventry.ac.uk/en/publications/does-short-term-high-dose-probiotic-supplementation-containing-la-2,30-Jun-16,[],[]
,,,,
"Dose-response between pedometer assessed physical activity, functional fitness and fatness in healthy adults aged 50-80 years",https://pureportal.coventry.ac.uk/en/publications/dose-response-between-pedometer-assessed-physical-activity-functi-2,Nov-16,"['Duncan, M. J.', 'Leddington-Wright, S.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright']"
,,,,
Dual task performance in older adults: examining visual discrimination whilst treadmill walking at preferred and non-preferred speeds,https://pureportal.coventry.ac.uk/en/publications/dual-task-performance-in-older-adults-examining-visual-discrimina-2,01-Apr-16,"['Duncan, M. J.', 'Clarke, N. D.', 'Eyre, E. L. J.', 'Leddington Wright, S.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright']"
,,,,
"Effective microorganism – X attenuates circulating superoxide dismutase following an acute bout of intermittent running in hot, humid conditions",https://pureportal.coventry.ac.uk/en/publications/effective-microorganism-x-attenuates-circulating-superoxide-dismu-2,2016,"['Lee, B. J.']",['https://pureportal.coventry.ac.uk/en/persons/ben-lee']
,,,,
Effect of a synbiotic on the response to seasonal influenza vaccination is strongly influenced by degree of immunosenescence,https://pureportal.coventry.ac.uk/en/publications/effect-of-a-synbiotic-on-the-response-to-seasonal-influenza-vacci-2,15-Mar-16,"['Dong, H.']",['https://pureportal.coventry.ac.uk/en/persons/honglin-dong']
,,,,
Effect Of Coffee And Caffeine Ingestion On Resistance Exercise Performance,https://pureportal.coventry.ac.uk/en/publications/effect-of-coffee-and-caffeine-ingestion-on-resistance-exercise-pe-2,Oct-16,"['Clarke, N.']",['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
,,,,
"Evaluating the effects of caffeine and sodium bicarbonate, ingested individually or in combination, and a taste-matched placebo on high-intensity cycling capacity in healthy males",https://pureportal.coventry.ac.uk/en/publications/evaluating-the-effects-of-caffeine-and-sodium-bicarbonate-ingeste-2,Apr-16,"['Price, M. J.', 'Duncan, M. J.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/mike-price', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
Examination of tryptamine-squaraine complexes as both colorimetric and fluorometric stains in gel electrophoresis,https://pureportal.coventry.ac.uk/en/publications/examination-of-tryptamine-squaraine-complexes-as-both-colorimetri-2,26-Mar-16,[],[]
,,,,
Examining Relative Age Effects in Fundamental Skill Proficiency in British Children Aged 6–11 Years,https://pureportal.coventry.ac.uk/en/publications/examining-relative-age-effects-in-fundamental-skill-proficiency-i-2,01-Oct-16,"['Oxford, S.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/sam-oxford', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Exercise and Academic Achievement in Children: Effects of Acute Class-Based Circuit Training,https://pureportal.coventry.ac.uk/en/publications/exercise-and-academic-achievement-in-children-effects-of-acute-cl-2,2016,"['Duncan, M. J.', 'Eyre, E.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre']"
,,,,
Exploring the relationship between exposure to technological and gastrointestinal stress and probiotic functional properties of lactobacilli and bifidobacteria,https://pureportal.coventry.ac.uk/en/publications/exploring-the-relationship-between-exposure-to-technological-and--2,Sep-16,"['Amund, O. D.']",['https://pureportal.coventry.ac.uk/en/persons/daniel-amund']
,,,,
"Flavanone-rich citrus beverages counteract the transient decline in postprandial endothelial function in humans: a randomised, controlled, double-masked, cross-over intervention study",https://pureportal.coventry.ac.uk/en/publications/flavanone-rich-citrus-beverages-counteract-the-transient-decline-,28-Dec-16,"['Dong, H.']",['https://pureportal.coventry.ac.uk/en/persons/honglin-dong']
,,,,
Functional Symbology - Evaluation of task-specific Head-Up Display information for use on a commercial flight deck,https://pureportal.coventry.ac.uk/en/publications/functional-symbology-evaluation-of-task-specific-head-up-display--2,2016,"['Scott, S.']",['https://pureportal.coventry.ac.uk/en/persons/steve-scott']
,,,,
High-Dose Probiotic Supplementation Containing Lactobacillus casei for 7 Days Does Not Enhance Salivary Antimicrobial Protein Responses to Exertional Heat Stress Compared With Placebo,https://pureportal.coventry.ac.uk/en/publications/high-dose-probiotic-supplementation-containing-lactobacillus-case-2,Apr-16,[],[]
,,,,
Hydrocarbon Biodegradation in Hard Infrastructure,https://pureportal.coventry.ac.uk/en/publications/hydrocarbon-biodegradation-in-hard-infrastructure,30-Sep-16,"['Coupe, S. J.', 'Sañudo Fontaneda, L. A.']","['https://pureportal.coventry.ac.uk/en/persons/steve-coupe', 'https://pureportal.coventry.ac.uk/en/persons/luis-sa%C3%B1udo-fontaneda']"
,,,,
"Letter to the Editor concerning “Prospective study using anterior approach did not show association between Modic 1 changes and low grade infection in lumbar spine” by Rigal J, et al.: Eur Spine J; 2016 Apr; 25(4):1000–5",https://pureportal.coventry.ac.uk/en/publications/letter-to-the-editor-concerning-prospective-study-using-anterior--2,26-Aug-16,"['Rollason, J.']",['https://pureportal.coventry.ac.uk/en/persons/jess-rollason']
,,,,
Love builds episode 5,https://pureportal.coventry.ac.uk/en/publications/love-builds-episode-5-2,2016,"['Lund, P.']",['https://pureportal.coventry.ac.uk/en/persons/patricia-lund']
,,,,
Love builds episode 6,https://pureportal.coventry.ac.uk/en/publications/love-builds-episode-6-2,2016,"['Lund, P.']",['https://pureportal.coventry.ac.uk/en/persons/patricia-lund']
,,,,
Love builds episodes 1-6 synopsis,https://pureportal.coventry.ac.uk/en/publications/love-builds-episodes-1-6-synopsis-2,2016,"['Lund, P.']",['https://pureportal.coventry.ac.uk/en/persons/patricia-lund']
,,,,
L-Theanine as a Functional Food Additive: Its Role in Disease Prevention and Health Promotion,https://pureportal.coventry.ac.uk/en/publications/l-theanine-as-a-functional-food-additive-its-role-in-disease-prev,30-May-16,[],[]
,,,,
m6A potentiates Sxl alternative pre-mRNA splicing for robust Drosophila sex determination,https://pureportal.coventry.ac.uk/en/publications/m6a-potentiates-sxl-alternative-pre-mrna-splicing-for-robust-dros-2,30-Nov-16,[],[]
,,,,
Match play demands of 11 versus 11 professional football using Global Positioning System tracking: Variations across common playing formations,https://pureportal.coventry.ac.uk/en/publications/match-play-demands-of-11-versus-11-professional-football-using-gl-2,Oct-16,"['Clarke, N. D.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Measurement of saliva flow rate in healthy young humans: influence of collection time and mouthrinse water temperature,https://pureportal.coventry.ac.uk/en/publications/measurement-of-saliva-flow-rate-in-healthy-young-humans-influence-2,Oct-16,"['Price, M.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
,,,,
Metal Oxide Semiconductors for Drug Marker and Cigarette Detection,https://pureportal.coventry.ac.uk/en/publications/metal-oxide-semiconductors-for-drug-marker-and-cigarette-detectio,2016,"['Tarttelin Hernandez, P.']",['https://pureportal.coventry.ac.uk/en/persons/paula-tarttelin-hernandez']
,,,,
Monoterpene emission from young scots pine may be influenced by nutrient availability,https://pureportal.coventry.ac.uk/en/publications/monoterpene-emission-from-young-scots-pine-may-be-influenced-by-n,2016,"['González-Méndez, R.']",['https://pureportal.coventry.ac.uk/en/persons/ramon-gonzalez-mendez']
,,,,
Morphological differences between habitats are associated with physiological and behavioural trade-offs in stickleback (Gasterosteus aculeatus),https://pureportal.coventry.ac.uk/en/publications/morphological-differences-between-habitats-are-associated-with-ph-2,Jun-16,"['James, R. S.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
Multi-modal characterization of rapid anterior hippocampal volume increase associated with aerobic exercise.,https://pureportal.coventry.ac.uk/en/publications/multi-modal-characterization-of-rapid-anterior-hippocampal-volume,01-May-16,[],[]
,,,,
Multivariate analyses of individual variation in soccer skill as a tool for talent identification and development: utilising evolutionary theory in sports science,https://pureportal.coventry.ac.uk/en/publications/multivariate-analyses-of-individual-variation-in-soccer-skill-as--2,2016,"['James, R. S.', 'Thake, D.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Nucleotide modifications in messenger RNA and their role in development and disease,https://pureportal.coventry.ac.uk/en/publications/nucleotide-modifications-in-messenger-rna-and-their-role-in-devel-2,19-Oct-16,[],[]
,,,,
Orange pomace fibre increases a composite scoring of subjective ratings of hunger and fullness in healthy adults,https://pureportal.coventry.ac.uk/en/publications/orange-pomace-fibre-increases-a-composite-scoring-of-subjective-r-2,27-Aug-16,"['Dong, H.']",['https://pureportal.coventry.ac.uk/en/persons/honglin-dong']
,,,,
Placebo effects of caffeine on maximal voluntary concentric force of the knee flexors & extensors,https://pureportal.coventry.ac.uk/en/publications/placebo-effects-of-caffeine-on-maximal-voluntary-concentric-force-2,28-Jan-16,"['Tallis, J.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Preparation of Paralympic Athletes; Environmental Concerns and Heat Acclimation,https://pureportal.coventry.ac.uk/en/publications/preparation-of-paralympic-athletes-environmental-concerns-and-hea-2,14-Jan-16,"['Price, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
,,,,
"Relationship between physical activity levels and body fat of children aged 8–9, from UK schools in low socioeconomic areas",https://pureportal.coventry.ac.uk/en/publications/relationship-between-physical-activity-levels-and-body-fat-of-chi-2,01-Dec-16,"['King, A.', 'Duncan, M.', 'Eyre, E.', 'Oxford, S.']","['https://pureportal.coventry.ac.uk/en/persons/andrew-king', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/sam-oxford']"
,,,,
Report To The Youth Justice Board: A Study Of The Effect Of Restraint Positions On Lung Function,https://pureportal.coventry.ac.uk/en/publications/report-to-the-youth-justice-board-a-study-of-the-effect-of-restra-2,2016,"['Thake, D.', 'Price, M.']","['https://pureportal.coventry.ac.uk/en/persons/doug-thake', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
Salsa Dance and Zumba Fitness: Acute Responses During Community-Based Classes,https://pureportal.coventry.ac.uk/en/publications/salsa-dance-and-zumba-fitness-acute-responses-during-community-ba,Jun-16,"['Domene, P. A.']",['https://pureportal.coventry.ac.uk/en/persons/pablo-domene']
,,,,
Scaling waist girth for differences in body size reveals a new improved index associated with cardiometabolic risk,https://pureportal.coventry.ac.uk/en/publications/scaling-waist-girth-for-differences-in-body-size-reveals-a-new-im-2,10-Oct-16,"['Duncan, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
The Big Physio Survey (BPS) - Abstract,https://pureportal.coventry.ac.uk/en/publications/the-big-physio-survey-bps-abstract-2,01-Dec-16,[],[]
,,,,
The Effect of Dietary Supplementation of Green Tea Catechins on Cardiovascular Disease Risk Markers in Humans: A Systematic Review of Clinical Trials,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-dietary-supplementation-of-green-tea-catechins-on-c,21-Jun-16,[],[]
,,,,
